utc,committedGiB,limitGiB
2026-09-20T01:45:36.1534489Z,5.53,16.00
2026-09-20T01:45:38.4578196Z,6.45,16.00
2026-09-20T01:45:40.7757996Z,5.62,16.00
2026-09-20T01:45:43.0858143Z,5.75,16.00
2026-09-20T01:45:45.3896345Z,6.14,16.00
2026-09-20T01:45:47.6961032Z,5.80,16.00
2026-09-20T01:45:49.9901335Z,6.00,16.00
2026-09-20T01:45:52.2925501Z,5.48,16.00
2026-09-20T01:45:54.6042585Z,5.63,16.00
2026-09-20T01:45:56.8832894Z,6.01,16.00
2026-09-20T01:45:59.1833600Z,6.47,16.00
2026-09-20T01:46:01.4940804Z,6.94,16.00
2026-09-20T01:46:03.7878294Z,5.48,16.00
2026-09-20T01:46:06.0759871Z,4.27,16.00
2026-09-20T01:46:08.3756603Z,4.31,16.00
2026-09-20T01:46:10.6814946Z,4.50,16.00
2026-09-20T01:46:12.9880469Z,4.78,16.00
2026-09-20T01:46:15.2794933Z,5.08,16.00
2026-09-20T01:46:17.5579354Z,5.13,16.00
2026-09-20T01:46:19.8716093Z,4.79,16.00
2026-09-20T01:46:22.1639940Z,4.97,16.00
2026-09-20T01:46:24.4728008Z,4.87,16.00
2026-09-20T01:46:26.7729174Z,4.30,16.00
2026-09-20T01:46:29.0587680Z,4.47,16.00
2026-09-20T01:46:31.3492027Z,4.60,16.00
2026-09-20T01:46:33.6502026Z,4.66,16.00
2026-09-20T01:46:35.9500247Z,4.55,16.00
2026-09-20T01:46:38.2335894Z,4.68,16.00
2026-09-20T01:46:40.5444413Z,4.79,16.00
2026-09-20T01:46:42.8398731Z,4.93,16.00
2026-09-20T01:46:45.1326466Z,5.01,16.00
2026-09-20T01:46:47.4263451Z,5.02,16.00
2026-09-20T01:46:49.7252267Z,4.96,16.00
2026-09-20T01:46:52.0221677Z,4.99,16.00
2026-09-20T01:46:54.3314978Z,5.00,16.00
2026-09-20T01:46:56.6367809Z,5.05,16.00
2026-09-20T01:46:58.9495054Z,5.07,16.00
2026-09-20T01:47:01.2657150Z,5.06,16.00
2026-09-20T01:47:03.5782619Z,5.07,16.00
2026-09-20T01:47:05.8848859Z,5.06,16.00
2026-09-20T01:47:08.2318148Z,5.07,16.00
2026-09-20T01:47:10.5455540Z,5.08,16.00
