utc,committedGiB,limitGiB
2026-09-20T00:02:21.4294397Z,5.05,16.00
2026-09-20T00:02:23.7464492Z,5.87,16.00
2026-09-20T00:02:26.0526140Z,5.09,16.00
2026-09-20T00:02:28.3569406Z,5.57,16.00
2026-09-20T00:02:30.6555851Z,5.24,16.00
2026-09-20T00:02:32.9554716Z,5.45,16.00
2026-09-20T00:02:35.2607658Z,4.93,16.00
2026-09-20T00:02:37.5744540Z,5.12,16.00
2026-09-20T00:02:39.8690417Z,5.51,16.00
2026-09-20T00:02:42.1838394Z,6.27,16.00
2026-09-20T00:02:44.4870258Z,6.46,16.00
2026-09-20T00:02:46.7841201Z,3.65,16.00
2026-09-20T00:02:49.0878695Z,3.74,16.00
2026-09-20T00:02:51.3916556Z,3.79,16.00
2026-09-20T00:02:53.6989728Z,4.02,16.00
2026-09-20T00:02:56.0013475Z,4.36,16.00
2026-09-20T00:02:58.3138210Z,4.44,16.00
2026-09-20T00:03:00.6036826Z,4.17,16.00
2026-09-20T00:03:02.9050717Z,4.31,16.00
2026-09-20T00:03:05.2109058Z,4.27,16.00
2026-09-20T00:03:07.5107985Z,4.46,16.00
2026-09-20T00:03:09.8169452Z,3.90,16.00
2026-09-20T00:03:12.1168564Z,4.04,16.00
2026-09-20T00:03:14.4311900Z,4.10,16.00
2026-09-20T00:03:16.7457793Z,4.03,16.00
2026-09-20T00:03:19.0448267Z,4.12,16.00
2026-09-20T00:03:21.3501825Z,4.22,16.00
2026-09-20T00:03:23.6499064Z,4.33,16.00
2026-09-20T00:03:25.9486314Z,4.42,16.00
2026-09-20T00:03:28.2529479Z,4.39,16.00
2026-09-20T00:03:30.5572470Z,4.40,16.00
2026-09-20T00:03:32.8672397Z,4.44,16.00
2026-09-20T00:03:35.1843551Z,4.47,16.00
2026-09-20T00:03:37.5015703Z,4.49,16.00
2026-09-20T00:03:39.8143156Z,4.49,16.00
2026-09-20T00:03:42.1269768Z,4.50,16.00
2026-09-20T00:03:44.4378008Z,4.49,16.00
2026-09-20T00:03:46.7534170Z,4.50,16.00
2026-09-20T00:03:49.0724804Z,4.50,16.00
