utc,committedGiB,limitGiB
2026-09-20T01:03:28.8650688Z,10.19,16.00
2026-09-20T01:03:31.2181248Z,10.45,16.00
2026-09-20T01:03:33.5265339Z,10.98,16.00
2026-09-20T01:03:35.8381530Z,11.18,16.00
2026-09-20T01:03:38.1177360Z,10.96,16.00
2026-09-20T01:03:40.4236265Z,11.15,16.00
2026-09-20T01:03:42.7345982Z,11.66,16.00
2026-09-20T01:03:45.0382599Z,10.63,16.00
2026-09-20T01:03:47.3437322Z,10.81,16.00
2026-09-20T01:03:49.6346369Z,11.26,16.00
2026-09-20T01:03:51.9369403Z,11.63,16.00
2026-09-20T01:03:54.2446330Z,10.72,16.00
2026-09-20T01:03:56.5436704Z,10.94,16.00
2026-09-20T01:03:58.8221390Z,10.55,16.00
2026-09-20T01:04:01.1150190Z,10.94,16.00
2026-09-20T01:04:03.4142251Z,10.59,16.00
2026-09-20T01:04:05.7172205Z,10.69,16.00
2026-09-20T01:04:08.0110284Z,10.76,16.00
2026-09-20T01:04:10.3181673Z,11.45,16.00
2026-09-20T01:04:12.7754299Z,11.58,16.00
2026-09-20T01:04:15.0666756Z,11.61,16.00
2026-09-20T01:04:17.3690647Z,11.61,16.00
2026-09-20T01:04:19.6600799Z,10.72,16.00
2026-09-20T01:04:21.9581485Z,9.66,16.00
2026-09-20T01:04:24.2628321Z,9.85,16.00
2026-09-20T01:04:26.5675466Z,9.70,16.00
2026-09-20T01:04:28.8644971Z,9.74,16.00
2026-09-20T01:04:31.1631639Z,10.11,16.00
2026-09-20T01:04:33.4868551Z,10.09,16.00
2026-09-20T01:04:35.7735416Z,10.07,16.00
2026-09-20T01:04:38.0680775Z,10.37,16.00
2026-09-20T01:04:40.3833074Z,9.98,16.00
2026-09-20T01:04:42.6879677Z,10.31,16.00
2026-09-20T01:04:44.9839410Z,10.34,16.00
2026-09-20T01:04:47.2797638Z,10.46,16.00
2026-09-20T01:04:49.5798449Z,9.89,16.00
2026-09-20T01:04:51.8773029Z,9.96,16.00
2026-09-20T01:04:54.1809271Z,10.17,16.00
2026-09-20T01:04:56.4879594Z,10.16,16.00
2026-09-20T01:04:58.7889674Z,10.04,16.00
2026-09-20T01:05:01.0982866Z,10.22,16.00
2026-09-20T01:05:03.3809816Z,10.34,16.00
2026-09-20T01:05:05.6913829Z,10.20,16.00
2026-09-20T01:05:07.9994051Z,10.23,16.00
2026-09-20T01:05:10.2805191Z,9.21,16.00
2026-09-20T01:05:12.5679409Z,9.61,16.00
2026-09-20T01:05:14.8753436Z,9.93,16.00
2026-09-20T01:05:17.1838709Z,9.75,16.00
2026-09-20T01:05:19.4790985Z,10.03,16.00
2026-09-20T01:05:21.7906749Z,10.16,16.00
2026-09-20T01:05:24.0722403Z,10.25,16.00
2026-09-20T01:05:26.3785032Z,10.21,16.00
2026-09-20T01:05:28.6972539Z,10.29,16.00
2026-09-20T01:05:31.0066430Z,9.56,16.00
2026-09-20T01:05:33.3042620Z,9.78,16.00
2026-09-20T01:05:35.6119003Z,9.93,16.00
2026-09-20T01:05:37.9103798Z,9.87,16.00
2026-09-20T01:05:40.2249057Z,10.00,16.00
2026-09-20T01:05:42.5393828Z,10.19,16.00
