utc,committedGiB,limitGiB
2026-09-20T19:37:22.4888556Z,5.61,16.00
2026-09-20T19:37:24.8328020Z,5.82,16.00
2026-09-20T19:37:27.1160085Z,5.41,16.00
2026-09-20T19:37:29.4170953Z,5.28,16.00
2026-09-20T19:37:31.7099276Z,5.65,16.00
2026-09-20T19:37:34.0176897Z,5.18,16.00
2026-09-20T19:37:36.3192238Z,5.54,16.00
2026-09-20T19:37:38.6298964Z,5.67,16.00
2026-09-20T19:37:40.9333092Z,5.19,16.00
2026-09-20T19:37:43.2475248Z,5.31,16.00
2026-09-20T19:37:45.5409447Z,5.71,16.00
2026-09-20T19:37:47.8456439Z,6.38,16.00
2026-09-20T19:37:50.1532322Z,6.74,16.00
2026-09-20T19:37:52.4586074Z,3.85,16.00
2026-09-20T19:37:54.7653009Z,3.94,16.00
2026-09-20T19:37:57.0663527Z,3.96,16.00
2026-09-20T19:37:59.3484157Z,4.27,16.00
2026-09-20T19:38:01.6480907Z,4.63,16.00
2026-09-20T19:38:03.9584174Z,4.59,16.00
2026-09-20T19:38:06.2595011Z,5.25,16.00
2026-09-20T19:38:08.5491205Z,4.79,16.00
2026-09-20T19:38:10.8375584Z,4.99,16.00
2026-09-20T19:38:13.1340251Z,4.89,16.00
2026-09-20T19:38:15.4361009Z,4.33,16.00
2026-09-20T19:38:17.7350299Z,4.50,16.00
2026-09-20T19:38:20.0258209Z,5.01,16.00
2026-09-20T19:38:22.3413029Z,5.78,16.00
2026-09-20T19:38:24.6269545Z,6.22,16.00
2026-09-20T19:38:27.1562363Z,6.45,16.00
2026-09-20T19:38:29.5291830Z,6.96,16.00
2026-09-20T19:38:31.8386071Z,7.29,16.00
2026-09-20T19:38:34.2420476Z,7.61,16.00
2026-09-20T19:38:37.0377417Z,7.63,16.00
2026-09-20T19:38:39.3716592Z,7.62,16.00
2026-09-20T19:38:41.6662053Z,8.26,16.00
2026-09-20T19:38:43.9838726Z,8.62,16.00
2026-09-20T19:38:46.3357972Z,8.75,16.00
2026-09-20T19:38:48.8699082Z,9.51,16.00
2026-09-20T19:38:51.4296198Z,9.79,16.00
2026-09-20T19:38:53.7518791Z,10.23,16.00
2026-09-20T19:38:56.0673290Z,9.84,16.00
2026-09-20T19:38:58.9548270Z,10.06,16.00
2026-09-20T19:39:01.2820641Z,10.55,16.00
2026-09-20T19:39:03.6377103Z,10.62,16.00
2026-09-20T19:39:05.9581275Z,10.80,16.00
2026-09-20T19:39:08.2591867Z,10.76,16.00
2026-09-20T19:39:11.1944548Z,10.95,16.00
2026-09-20T19:39:13.5105005Z,11.08,16.00
2026-09-20T19:39:15.8046957Z,10.60,16.00
2026-09-20T19:39:18.1231769Z,10.91,16.00
2026-09-20T19:39:20.4317309Z,11.15,16.00
2026-09-20T19:39:22.7158520Z,11.17,16.00
2026-09-20T19:39:25.0120483Z,11.32,16.00
2026-09-20T19:39:27.2883798Z,11.30,16.00
2026-09-20T19:39:29.6253530Z,11.27,16.00
2026-09-20T19:39:31.9368361Z,11.32,16.00
2026-09-20T19:39:34.2558478Z,11.06,16.00
2026-09-20T19:39:36.7247284Z,11.01,16.00
2026-09-20T19:39:39.0177235Z,11.01,16.00
2026-09-20T19:39:41.2984650Z,10.58,16.00
2026-09-20T19:39:43.5824687Z,10.63,16.00
2026-09-20T19:39:45.8675489Z,10.93,16.00
2026-09-20T19:39:48.1600992Z,10.94,16.00
2026-09-20T19:39:50.6025947Z,11.16,16.00
2026-09-20T19:39:53.0017118Z,11.31,16.00
2026-09-20T19:39:55.7484861Z,11.29,16.00
2026-09-20T19:39:58.1068340Z,11.36,16.00
